RCP_TTL,CKG_NM,CKG_MTRL_CN
오징어무국 - 집밥 백선생 오징어뭇국,오징어무국,"오징어,무,청양고추,대파  다시마육수,국간장,멸치액젓,마늘,들기름,고추가루,소금"
매콤하게 즐기는 닭볶음탕,닭볶음탕,"닭,감자,양파,당근,대파,청양고추,물  간장,고춧가루,맛술,설탕,마늘,고추장,참기름,후추"
시원 얼큰 소고기무국 아침에 칼칼하게 한그릇 뚝딱,소고기무국,"소고기,무,잔파,마늘,참기름,국간장,액젓,설탕,소금"
갈치조림,갈치조림,"갈치,양파,무 센티두께,대파,쌀뜨물다시마  고춧가루,국간장,맛간장,맛술,청주,마늘,생강청,매실청,청양고추,깨  쌀뜨물"
호박죽 만드는 법 - 자취요리,호박죽,"찹쌀가루,작은 호박,소금 및 설탕,냉동 팥"
닭볶음탕 비린내 없이 깔끔하게 만들기,닭볶음탕,"닭,감자,당근,건표고버섯 채,청고추,홍고추,색색 조랭이 떡복이떡,양파,물  매운 고추장,일반 고추장,고춧가루,간장,레드와인,청주,황설탕,마늘,후추"
골뱅이 무침과 소면♥,골뱅이무침,"골뱅이 통조림 캔,양파,파프리카,오이,치커리  고추장,식초,매실액기스,참기름,마늘,간장,설탕,깨,고춧가루"
실패없는 김치볶음밥이 만들고 싶다면 요기로 컴컴!,김치볶음밥," 김치,파,베이컨,김가루 간장,설탕"
열무비빔밥 만드는법,열무비빔밥,"열무김치,고추장,참기름,깨소금  설탕,참기름,깨소금"
집밥백선생 레시피 :: 백종원 김치볶음밥 황금 레시피,김치볶음밥," 김치,양파,대파,밥 그릇 그릇,햄,고추가루,진간장,계란,식용유"
콩나물국 아삭하면서 칼칼한 콩나물국 끓이는 법,콩나물국,"콩나물 ,대파,무,홍고추,청고추,다시마 고추장,고춧가루,집간장"
소고기미역국~초간단하게,소고기미역국,"국거리용 한우 그램,삶을 때 물 밀리,다시마,통후추 삶은 소고기 그램,마늘,국간장 씩,건미역 그램,마늘,국간장,현미유,참기름,육수,황태육수,미역불린물"
생일상 무한감동 ♥ 소고기미역국 ,소고기미역국,"소고기,건미역,참기름,후추,국간장,물"
고추장을 넣지않아 더 맑고 개운한 닭볶음탕,닭볶음탕,"닭,감자,양파,당근,대파 청고추,홍고추,황설탕,마늘,생강가루,양조간장 ,고춧가루"
해피투게더야간매점레시피 / 남은 김밥 활용   아이카레보이 :),볶음밥,"오징어 새우 남은속재료량,남은계란흰자,버터,굴소스,후추"
얼큰 칼칼 닭볶음탕 맛있게 만드는법~!~~,닭볶음탕,"닭,당근,고구마,양파  마늘,고추장,간장,맛술,고추가루,후추 꼬집,설탕"
소세지 야채볶음 만들기  소야볶음,소세지야채볶음,"케첩,굴소스,고추장,간장,마늘,올리고당  비엔나 소세지,파프리카,양파,브로콜리,깨,버터"
딸아이 생일에 만든 잡채,잡채,"당면,목이버섯,당근, 돼지고기,팽이버섯,부추,양파 깨소금,참기름,간장,올리고당"
♥김치볶음밥♥만들기,김치볶음밥,"김치,밥  이상,계란,고추가루,참치 캔 올리고당,다시다"
더 건강한 떡볶이 ,떡볶이,"떡,달걀,오뎅 장,대파  마늘,고추가루,고추장,간장,물엿,설탕"
아기가 잘 먹는 소고기무국,소고기무국,"소고기,무,대파   대,다시마 육수  참기름, 마늘,국간장,청주,소주,소금,후추"
꽃게탕 가을꽃게로 꽃게탕 만드는법,꽃게탕,"꽃게,다시마,무,양파,버섯,대파,각종해산물,쑥갓 된장,고추장,고추가루,마늘,멸치가루"
미역국 깊은맛 나게 끓이기,미역국,"미역,소고기  미향,간장,참기름,액젓"
